;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
1;FWB_1;Benthic;Primary_consumer;-23,9;4,89;-23,56037439;4,845970397;Lentic
2;FWB_1;Pelagic;Primary_consumer;-30,1;6,42;-30,28250762;5,698060787;Lentic
3;FWB_1;Pelagic;Primary_resource;NA;NA;-27,843373;3,688013182;Lentic
4;FWB_1;Benthic;Primary_resource;NA;NA;-21,12123976;2,835922792;Lentic
5;FWB_10;Benthic;Primary_consumer;-31,175;10,075;-29,99832702;8,4616998;Lentic
6;FWB_10;Pelagic;Primary_resource;NA;NA;-29,63949603;7,303742585;Lentic
7;FWB_10;Benthic;Primary_resource;NA;NA;-27,55919239;6,451652195;Lentic
8;FWB_10;Pelagic;Primary_consumer;NA;NA;-32,07863066;9,31379019;Lentic
9;FWB_101;Pelagic;Primary_resource;NA;NA;-31,46759498;0,922226679;Lentic
10;FWB_101;Benthic;Primary_resource;NA;NA;-25,94762754;0,070136289;Lentic
11;FWB_101;Pelagic;Primary_consumer;NA;NA;-33,90672961;2,932274285;Lentic
12;FWB_101;Benthic;Primary_consumer;NA;NA;-28,38676217;2,080183895;Lentic
13;FWB_102;Pelagic;Primary_resource;NA;NA;-29,80909143;4,6949374;Lentic
14;FWB_102;Benthic;Primary_resource;NA;NA;-26,27312488;3,84284701;Lentic
15;FWB_102;Pelagic;Primary_consumer;NA;NA;-32,24822605;6,704985006;Lentic
16;FWB_102;Benthic;Primary_consumer;NA;NA;-28,71225951;5,852894615;Lentic
17;FWB_103;Pelagic;Primary_consumer;-31,6318212;4,592057395;-28,62915033;4,385878683;Lentic
18;FWB_103;Benthic;Primary_consumer;-31,00509686;7,936806338;-24,39418903;3,533788292;Lentic
19;FWB_103;Pelagic;Primary_resource;NA;NA;-26,19001571;2,375831077;Lentic
20;FWB_103;Benthic;Primary_resource;NA;NA;-21,95505441;1,523740687;Lentic
21;FWB_104;Benthic;Primary_consumer;-18,73362412;2,666825527;-24,39418903;3,533788292;Lentic
22;FWB_104;Pelagic;Primary_resource;NA;NA;-26,19001571;2,375831077;Lentic
23;FWB_104;Benthic;Primary_resource;NA;NA;-21,95505441;1,523740687;Lentic
24;FWB_104;Pelagic;Primary_consumer;NA;NA;-28,62915033;4,385878683;Lentic
25;FWB_106;Pelagic;Primary_resource;NA;NA;-28,05423168;4,146995042;Lentic
26;FWB_106;Benthic;Primary_resource;NA;NA;-25,14140169;3,294904651;Lentic
27;FWB_106;Pelagic;Primary_consumer;NA;NA;-30,49336631;6,157042647;Lentic
28;FWB_106;Benthic;Primary_consumer;NA;NA;-27,58053632;5,304952257;Lentic
29;FWB_107;Pelagic;Primary_resource;NA;NA;-30,16169382;4,59136311;Lentic
30;FWB_107;Benthic;Primary_resource;NA;NA;-25,02625691;3,73927272;Lentic
31;FWB_107;Pelagic;Primary_consumer;NA;NA;-32,60082845;6,601410715;Lentic
32;FWB_107;Benthic;Primary_consumer;NA;NA;-27,46539153;5,749320325;Lentic
33;FWB_108;Pelagic;Primary_resource;NA;NA;-29,1431963;5,263355529;Lentic
34;FWB_108;Benthic;Primary_resource;NA;NA;-25,09963102;4,411265139;Lentic
35;FWB_108;Pelagic;Primary_consumer;NA;NA;-31,58233093;7,273403135;Lentic
