"";"FW_ID";"Resource_habitat";"Resource_trophic_group";"d13C_baseline";"d15N_baseline";"Ecosystem_Type";"Latitude";"Longitude";"Elevation";"Lake_area_km2";"dis_m3_pyr";"tmp_dc_lyr";"pre_mm_lyr";"pop_ct_vsu";"soc_th_uav";"Res_time";"hft_ix_v09"
"1";"FWB_1";"Benthic";"Primary_consumer";-23,9;4,88999999999999;"Lentic";68,370492;-107,705072;10;21,46;0,568;-135;128;0;102;448;14
"2";"FWB_1";"Pelagic";"Primary_consumer";-30,1;6,42;"Lentic";68,370492;-107,705072;10;21,46;0,568;-135;128;0;102;448;14
"3";"FWB_10";"Benthic";"Primary_consumer";-31,175;10,075;"Lentic";52,219167;-2,344722;37;0,19;0,005;96;647;23,951;30;1037,2;372
"4";"FWB_103";"Pelagic";"Primary_consumer";-31,6318212036712;4,59205739506196;"Lentic";48,16;-116,366667;624;360,27;765,94;73;754;22,554;50;21,5;107
"5";"FWB_103";"Benthic";"Primary_consumer";-31,0050968587837;7,93680633783309;"Lentic";48,16;-116,366667;624;360,27;765,94;73;754;22,554;50;21,5;107
"6";"FWB_104";"Benthic";"Primary_consumer";-18,7336241220321;2,66682552678071;"Lentic";48,16;-116,366667;624;360,27;765,94;73;754;22,554;50;21,5;107
"7";"FWB_1086";"Benthic";"Primary_consumer";-30,90674792;9,1650797856;"Lentic";45,861525;6,167323;447;25,54;5,617;102;916;94,391;73;1607,8;269
"8";"FWB_1086";"Pelagic";"Primary_consumer";-37,1855603675;10,60671042525;"Lentic";45,861525;6,167323;447;25,54;5,617;102;916;94,391;73;1607,8;269
"9";"FWB_1087";"Benthic";"Primary_consumer";-36,63;7,475;"Lentic";46,56429;5,74962;524;0,52;0,335;93;1042;1,082;85;96;151
"10";"FWB_11";"Benthic";"Primary_consumer";-27,26;5,78;"Lentic";52,219172;-2,344727;37;0,19;0,005;96;647;23,951;30;1037,2;372
"11";"FWB_114";"Pelagic";"Primary_resource";-29,6;3,9;"Lentic";45,08394803;-83,32422864;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"12";"FWB_114";"Benthic";"Primary_resource";-28,5;0;"Lentic";45,08394803;-83,32422864;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"13";"FWB_114";"Pelagic";"Primary_consumer";-32,6;4,6;"Lentic";45,08394803;-83,32422864;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"14";"FWB_115";"Pelagic";"Primary_consumer";-21,8;6,5;"Lentic";45,19841457;-83,32729511;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"15";"FWB_115";"Pelagic";"Primary_resource";-22,4;3;"Lentic";45,19841457;-83,32729511;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"16";"FWB_115";"Benthic";"Primary_resource";-26;-0,5;"Lentic";45,19841457;-83,32729511;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"17";"FWB_116";"Pelagic";"Primary_resource";-23,2;2,5;"Lentic";45,00458536;-83,45588578;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"18";"FWB_116";"Pelagic";"Primary_consumer";-23;2,7;"Lentic";45,00458536;-83,45588578;175;59399,3;9162,15;62;836;346,745;69;4484,5;89
"19";"FWB_117";"Pelagic";"Primary_resource";-22,74;2,61;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"20";"FWB_117";"Benthic";"Primary_consumer";-23,22;1,95;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"21";"FWB_1171";"Pelagic";"Primary_consumer";-24,118808974317;3,92215728601907;"Lentic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"FWB_1171";"Benthic";"Primary_consumer";-32,3556491624197;1,1374493472567;"Lentic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";"FWB_1171";"Pelagic";"Primary_resource";-35,192496;-0,1848551125;"Lentic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"FWB_1172";"Pelagic";"Primary_consumer";-34,2004;10,08999;"Lentic";47,854;16,061;253;0,18;0,007;93;660;11,813;33;451,9;345
"25";"FWB_1172";"Benthic";"Primary_consumer";-34,3928333333333;7,91885533333333;"Lentic";47,854;16,061;253;0,18;0,007;93;660;11,813;33;451,9;345
"26";"FWB_1173";"Benthic";"Primary_consumer";-27,349078125;8,6463825;"Lentic";53,35;-6,5;44;0,16;17,914;94;803;36,894;106;0,2;360
"27";"FWB_1173";"Pelagic";"Primary_consumer";-29,9467;8,04963285714286;"Lentic";53,35;-6,5;44;0,16;17,914;94;803;36,894;106;0,2;360
"28";"FWB_1174";"Benthic";"Primary_consumer";-29,8191333333333;9,40443333333333;"Lentic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"FWB_1174";"Pelagic";"Primary_consumer";-32,09555;9,88328;"Lentic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"FWB_1176";"Benthic";"Primary_consumer";-30,1816666666667;8,93166666666667;"Lentic";53,81;-7,06;80;6,56;4,164;89;928;4,883;89;83,3;128
"31";"FWB_1176";"Pelagic";"Primary_consumer";-33,9;7,58;"Lentic";53,81;-7,06;80;6,56;4,164;89;928;4,883;89;83,3;128
"32";"FWB_118";"Pelagic";"Primary_resource";-16,38;0,87;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"33";"FWB_118";"Benthic";"Primary_resource";-19,98;1,28;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"34";"FWB_118";"Benthic";"Primary_consumer";-15,54;0,065;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"35";"FWB_119";"Pelagic";"Primary_consumer";-32,3;7,39;"Lentic";38,45501726;-107,3282908;2289;30,23;52,371;40;336;0,142;56;204;56
"36";"FWB_123";"Pelagic";"Primary_consumer";-29,7090301003344;3,01321660971353;"Lentic";47,047328;-91,241889;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"37";"FWB_124";"Pelagic";"Primary_consumer";-26,5;4,8;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"38";"FWB_124";"Benthic";"Primary_resource";-15,99;2,29999999999999;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"39";"FWB_124";"Benthic";"Primary_consumer";-17,23;3,71;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
